timestamp,util,mem_used,temp,power,sm_clk
2026/09/23 21:20:48.226, 18, 6795, 48, 35.34, 1125
2026/09/23 21:20:49.307, 19, 6794, 48, 38.38, 1125
2026/09/23 21:20:50.390, 20, 6789, 48, 36.58, 825
2026/09/23 21:20:51.467, 22, 6795, 47, 37.67, 825
2026/09/23 21:20:52.544, 22, 6794, 47, 33.45, 1095
2026/09/23 21:20:53.626, 21, 6807, 47, 37.86, 1095
2026/09/23 21:20:54.703, 46, 6807, 47, 36.75, 630
2026/09/23 21:20:55.778, 20, 6803, 47, 33.81, 1230
2026/09/23 21:20:56.854, 17, 6795, 47, 39.18, 1230
2026/09/23 21:20:57.915, 25, 7008, 47, 49.15, 810
2026/09/23 21:20:58.973, 100, 7007, 55, 197.41, 1995
2026/09/23 21:21:00.045, 100, 7007, 56, 207.03, 1995
2026/09/23 21:21:01.107, 100, 7007, 56, 206.30, 1995
2026/09/23 21:21:02.168, 100, 7002, 56, 205.97, 1995
2026/09/23 21:21:03.230, 100, 7002, 57, 205.38, 1995
2026/09/23 21:21:04.289, 100, 7014, 57, 206.30, 1995
2026/09/23 21:21:05.346, 100, 7011, 57, 206.13, 1995
2026/09/23 21:21:06.401, 100, 7002, 57, 204.86, 1995
2026/09/23 21:21:07.458, 100, 7002, 57, 205.81, 1995
2026/09/23 21:21:08.514, 100, 7002, 58, 205.56, 1980
2026/09/23 21:21:09.572, 100, 7004, 58, 206.24, 1980
2026/09/23 21:21:10.631, 100, 7007, 58, 203.88, 1980
2026/09/23 21:21:11.687, 100, 7006, 58, 204.93, 1980
2026/09/23 21:21:12.744, 100, 7008, 58, 205.57, 1980
2026/09/23 21:21:13.796, 100, 7021, 58, 207.62, 1980
2026/09/23 21:21:14.850, 100, 7020, 59, 206.45, 1980
2026/09/23 21:21:15.913, 100, 7016, 59, 207.16, 1980
2026/09/23 21:21:16.972, 100, 7008, 59, 207.43, 1980
2026/09/23 21:21:18.033, 100, 7005, 59, 206.99, 1980
2026/09/23 21:21:19.093, 100, 7003, 59, 206.58, 1980
2026/09/23 21:21:20.155, 100, 7004, 59, 207.34, 1980
2026/09/23 21:21:21.220, 100, 7002, 59, 205.85, 1980
2026/09/23 21:21:22.282, 100, 7002, 59, 206.38, 1980
2026/09/23 21:21:23.344, 100, 7002, 60, 206.58, 1980
2026/09/23 21:21:24.401, 100, 7011, 60, 210.22, 1980
2026/09/23 21:21:25.459, 100, 7083, 60, 208.25, 1980
2026/09/23 21:21:26.524, 100, 7078, 60, 211.80, 1980
2026/09/23 21:21:27.577, 100, 7081, 61, 216.58, 1980
2026/09/23 21:21:28.634, 100, 7043, 60, 208.06, 1980
2026/09/23 21:21:29.689, 100, 7043, 60, 207.93, 1980
2026/09/23 21:21:30.748, 100, 7043, 61, 208.53, 1980
2026/09/23 21:21:31.814, 100, 7046, 61, 208.87, 1980
2026/09/23 21:21:32.870, 100, 7041, 61, 206.81, 1980
2026/09/23 21:21:33.923, 100, 7054, 61, 208.91, 1980
2026/09/23 21:21:34.982, 100, 7051, 61, 207.46, 1980
2026/09/23 21:21:36.044, 100, 7051, 61, 207.82, 1980
2026/09/23 21:21:37.098, 100, 7042, 61, 207.05, 1980
2026/09/23 21:21:38.159, 100, 7042, 61, 207.83, 1980
2026/09/23 21:21:39.219, 100, 7038, 61, 208.80, 1980
2026/09/23 21:21:40.277, 100, 7039, 61, 207.99, 1980
2026/09/23 21:21:41.332, 100, 7039, 61, 209.57, 1980
2026/09/23 21:21:42.394, 100, 7043, 62, 209.13, 1980
2026/09/23 21:21:43.449, 100, 7043, 62, 209.10, 1980
2026/09/23 21:21:44.505, 100, 7054, 62, 208.89, 1980
2026/09/23 21:21:45.560, 100, 7053, 62, 208.92, 1980
2026/09/23 21:21:46.620, 100, 7042, 62, 209.35, 1980
2026/09/23 21:21:47.688, 100, 7039, 62, 214.57, 1980
2026/09/23 21:21:48.745, 100, 7067, 62, 210.20, 1980
2026/09/23 21:21:49.807, 100, 7067, 62, 208.93, 1980
2026/09/23 21:21:50.861, 100, 7067, 62, 208.49, 1980
2026/09/23 21:21:51.921, 100, 7067, 62, 208.92, 1980
2026/09/23 21:21:52.982, 100, 7067, 62, 208.76, 1980
2026/09/23 21:21:54.045, 100, 7081, 62, 208.02, 1980
2026/09/23 21:21:55.098, 100, 7078, 63, 210.57, 1980
2026/09/23 21:21:56.159, 100, 7072, 63, 212.67, 1980
2026/09/23 21:21:57.227, 100, 7067, 62, 211.75, 1980
2026/09/23 21:21:58.291, 100, 7066, 62, 208.87, 1965
2026/09/23 21:21:59.354, 100, 7060, 63, 207.29, 1965
2026/09/23 21:22:00.415, 100, 7059, 63, 207.35, 1965
2026/09/23 21:22:01.477, 100, 7058, 63, 212.39, 1965
2026/09/23 21:22:02.532, 100, 7055, 63, 213.91, 1965
2026/09/23 21:22:03.594, 100, 7055, 63, 210.63, 1965
2026/09/23 21:22:04.649, 100, 7083, 63, 209.40, 1965
2026/09/23 21:22:05.705, 100, 7080, 63, 211.40, 1965
2026/09/23 21:22:06.762, 100, 7073, 63, 210.26, 1965
2026/09/23 21:22:07.823, 100, 7073, 64, 216.44, 1965
