timestamp,util,mem_used,temp,power,sm_clk
2026/09/23 21:18:31.058, 18, 6762, 51, 38.37, 1140
2026/09/23 21:18:32.166, 21, 6762, 51, 37.23, 810
2026/09/23 21:18:33.258, 23, 6762, 51, 38.28, 810
2026/09/23 21:18:34.348, 48, 6773, 50, 33.95, 795
2026/09/23 21:18:35.439, 19, 6771, 50, 38.77, 1245
2026/09/23 21:18:36.522, 43, 6763, 50, 38.79, 825
2026/09/23 21:18:37.605, 22, 6763, 50, 38.03, 825
2026/09/23 21:18:38.686, 44, 6762, 50, 36.06, 675
2026/09/23 21:18:39.768, 44, 6762, 49, 32.87, 1065
2026/09/23 21:18:40.850, 18, 6762, 49, 38.83, 1185
2026/09/23 21:18:41.933, 23, 6762, 50, 38.42, 675
2026/09/23 21:18:43.018, 22, 6762, 49, 33.90, 1170
2026/09/23 21:18:44.082, 20, 6789, 49, 38.71, 1170
2026/09/23 21:18:45.168, 100, 7017, 56, 161.50, 1995
2026/09/23 21:18:46.241, 100, 7050, 57, 209.42, 1995
2026/09/23 21:18:47.299, 100, 7003, 58, 209.64, 1980
2026/09/23 21:18:48.371, 100, 6986, 58, 210.14, 1980
2026/09/23 21:18:49.428, 100, 7011, 58, 208.90, 1980
2026/09/23 21:18:50.488, 100, 7024, 59, 209.44, 1980
2026/09/23 21:18:51.555, 100, 7027, 59, 209.83, 1980
2026/09/23 21:18:52.616, 100, 7017, 59, 209.24, 1980
2026/09/23 21:18:53.679, 100, 7026, 59, 209.94, 1980
2026/09/23 21:18:54.742, 100, 7023, 59, 209.32, 1980
2026/09/23 21:18:55.802, 100, 7019, 59, 209.41, 1980
2026/09/23 21:18:56.862, 100, 7013, 59, 209.30, 1980
2026/09/23 21:18:57.924, 100, 7017, 60, 210.21, 1980
2026/09/23 21:18:58.983, 100, 7013, 59, 207.77, 1980
2026/09/23 21:19:00.059, 100, 7029, 60, 211.40, 1980
2026/09/23 21:19:01.122, 100, 7026, 60, 209.47, 1980
2026/09/23 21:19:02.187, 100, 7019, 60, 211.53, 1980
2026/09/23 21:19:03.258, 100, 7018, 60, 209.96, 1980
2026/09/23 21:19:04.318, 100, 7015, 60, 212.03, 1980
2026/09/23 21:19:05.375, 100, 6997, 60, 211.10, 1980
2026/09/23 21:19:06.434, 100, 6989, 60, 211.93, 1980
2026/09/23 21:19:07.503, 100, 6989, 61, 209.70, 1980
2026/09/23 21:19:08.558, 100, 6988, 61, 210.66, 1980
2026/09/23 21:19:09.615, 100, 6988, 61, 210.02, 1980
2026/09/23 21:19:10.673, 100, 6987, 61, 211.20, 1980
2026/09/23 21:19:11.733, 100, 6988, 61, 209.73, 1980
2026/09/23 21:19:12.791, 100, 6996, 61, 208.06, 1980
2026/09/23 21:19:13.850, 100, 7011, 61, 212.17, 1980
2026/09/23 21:19:14.902, 100, 7006, 61, 212.93, 1980
2026/09/23 21:19:15.958, 100, 6998, 62, 212.40, 1980
2026/09/23 21:19:17.018, 100, 6998, 61, 211.63, 1980
2026/09/23 21:19:18.076, 100, 6989, 62, 212.69, 1980
2026/09/23 21:19:19.135, 100, 6987, 62, 210.75, 1980
2026/09/23 21:19:20.195, 100, 6987, 62, 212.22, 1980
2026/09/23 21:19:21.254, 100, 6985, 62, 210.70, 1980
2026/09/23 21:19:22.309, 100, 6985, 62, 212.14, 1980
2026/09/23 21:19:23.365, 100, 6988, 62, 212.08, 1980
2026/09/23 21:19:24.420, 100, 7000, 62, 213.18, 1980
2026/09/23 21:19:25.480, 100, 6998, 62, 212.78, 1980
2026/09/23 21:19:26.534, 99, 6989, 62, 209.96, 1980
2026/09/23 21:19:27.591, 100, 6993, 62, 215.42, 1980
2026/09/23 21:19:28.651, 100, 6992, 62, 212.02, 1980
2026/09/23 21:19:29.709, 100, 6992, 63, 211.69, 1980
2026/09/23 21:19:30.767, 100, 6992, 62, 211.80, 1980
2026/09/23 21:19:31.824, 100, 6992, 62, 212.37, 1965
2026/09/23 21:19:32.878, 100, 6989, 63, 210.87, 1965
2026/09/23 21:19:33.932, 100, 7004, 63, 212.36, 1965
2026/09/23 21:19:34.993, 100, 7001, 63, 211.12, 1965
2026/09/23 21:19:36.058, 100, 6991, 63, 212.50, 1965
2026/09/23 21:19:37.119, 100, 6991, 63, 210.81, 1965
2026/09/23 21:19:38.174, 100, 6991, 63, 211.60, 1965
2026/09/23 21:19:39.236, 100, 6991, 63, 211.95, 1965
2026/09/23 21:19:40.296, 100, 6988, 63, 212.43, 1965
2026/09/23 21:19:41.357, 100, 6988, 63, 210.40, 1965
2026/09/23 21:19:42.429, 100, 6991, 63, 213.26, 1965
2026/09/23 21:19:43.493, 100, 6992, 63, 214.05, 1965
2026/09/23 21:19:44.552, 100, 7003, 63, 213.88, 1965
2026/09/23 21:19:45.610, 100, 6999, 63, 213.93, 1965
2026/09/23 21:19:46.664, 100, 6996, 63, 213.20, 1965
2026/09/23 21:19:47.721, 100, 6993, 63, 214.85, 1965
2026/09/23 21:19:48.781, 100, 6993, 64, 212.53, 1965
2026/09/23 21:19:49.837, 100, 6993, 64, 213.47, 1965
2026/09/23 21:19:50.893, 100, 6987, 63, 212.02, 1965
2026/09/23 21:19:51.953, 100, 6987, 64, 214.15, 1965
2026/09/23 21:19:53.029, 100, 6987, 64, 212.20, 1965
2026/09/23 21:19:54.099, 100, 7000, 64, 212.80, 1965
