util,power,sm_clk,mem_clk,temp
18, 39.73, 1170, 5001, 55
42, 37.15, 1170, 5001, 55
41, 32.95, 945, 810, 55
17, 36.29, 1125, 5001, 55
17, 38.96, 1125, 5001, 54
44, 35.39, 660, 810, 54
45, 32.58, 810, 810, 54
19, 34.72, 1140, 5001, 54
21, 40.73, 1830, 6801, 54
100, 214.81, 1965, 6801, 61
100, 227.57, 1965, 6801, 62
100, 227.59, 1965, 6801, 62
100, 225.52, 1965, 6801, 62
100, 229.68, 1965, 6801, 63
100, 228.93, 1965, 6801, 63
100, 228.25, 1965, 6801, 63
100, 228.77, 1965, 6801, 64
100, 228.44, 1965, 6801, 64
100, 230.04, 1965, 6801, 64
100, 229.48, 1965, 6801, 64
100, 228.46, 1965, 6801, 64
100, 222.57, 1965, 6801, 64
100, 229.56, 1965, 6801, 65
100, 229.15, 1965, 6801, 65
100, 229.84, 1965, 6801, 65
100, 229.74, 1965, 6801, 65
100, 230.07, 1965, 6801, 65
100, 229.13, 1965, 6801, 65
100, 229.90, 1965, 6801, 66
100, 229.63, 1965, 6801, 66
100, 229.59, 1965, 6801, 66
100, 230.49, 1965, 6801, 66
100, 230.38, 1965, 6801, 66
100, 221.37, 1950, 6801, 66
100, 225.97, 1965, 6801, 66
100, 227.61, 1965, 6801, 66
100, 228.67, 1965, 6801, 66
100, 228.36, 1965, 6801, 66
100, 228.04, 1950, 6801, 67
100, 228.78, 1965, 6801, 66
100, 226.79, 1965, 6801, 66
100, 227.54, 1965, 6801, 67
100, 228.02, 1965, 6801, 67
100, 228.02, 1965, 6801, 67
100, 228.83, 1965, 6801, 67
99, 224.02, 1965, 6801, 67
100, 227.95, 1965, 6801, 67
100, 227.66, 1965, 6801, 67
100, 230.56, 1965, 6801, 67
100, 229.40, 1950, 6801, 67
100, 228.14, 1950, 6801, 67
100, 229.62, 1965, 6801, 67
100, 228.31, 1965, 6801, 67
100, 229.28, 1965, 6801, 67
100, 227.91, 1965, 6801, 67
100, 228.68, 1950, 6801, 67
100, 230.32, 1965, 6801, 68
100, 229.35, 1965, 6801, 68
100, 223.38, 1935, 6801, 68
100, 227.44, 1950, 6801, 67
100, 227.56, 1935, 6801, 67
100, 229.57, 1950, 6801, 68
100, 229.55, 1965, 6801, 68
100, 228.56, 1950, 6801, 67
100, 229.86, 1965, 6801, 68
100, 227.26, 1965, 6801, 68
100, 228.53, 1965, 6801, 68
100, 229.29, 1950, 6801, 68
100, 228.70, 1965, 6801, 68
100, 228.47, 1950, 6801, 68
