util,power,sm_clk,mem_clk,temp
11, 22.34, 210, 405, 55
15, 22.53, 210, 405, 55
11, 22.35, 210, 405, 54
15, 22.40, 210, 405, 54
16, 22.08, 210, 405, 54
100, 129.92, 1950, 6801, 62
100, 239.03, 1950, 6801, 63
100, 238.55, 1935, 6801, 63
100, 238.42, 1935, 6801, 64
100, 238.39, 1935, 6801, 64
100, 238.99, 1935, 6801, 64
100, 238.63, 1935, 6801, 65
100, 237.67, 1935, 6801, 65
100, 238.84, 1950, 6801, 65
100, 238.18, 1935, 6801, 65
100, 238.12, 1935, 6801, 66
100, 235.68, 1935, 6801, 66
100, 238.96, 1935, 6801, 66
100, 237.81, 1935, 6801, 66
100, 238.22, 1935, 6801, 66
100, 238.81, 1950, 6801, 66
100, 238.77, 1935, 6801, 66
100, 238.63, 1935, 6801, 67
100, 238.66, 1920, 6801, 67
100, 239.15, 1920, 6801, 67
100, 237.69, 1920, 6801, 67
100, 239.11, 1935, 6801, 67
100, 235.77, 1935, 6801, 66
100, 239.34, 1920, 6801, 67
100, 238.41, 1920, 6801, 68
100, 238.35, 1935, 6801, 68
100, 238.37, 1920, 6801, 68
100, 239.27, 1920, 6801, 68
100, 238.97, 1920, 6801, 68
100, 239.19, 1920, 6801, 68
100, 238.44, 1920, 6801, 68
100, 238.98, 1920, 6801, 68
100, 239.44, 1920, 6801, 68
100, 235.24, 1920, 6801, 68
100, 239.77, 1935, 6801, 69
100, 239.23, 1935, 6801, 68
100, 239.38, 1920, 6801, 69
100, 238.76, 1920, 6801, 69
100, 239.15, 1935, 6801, 68
100, 237.80, 1935, 6801, 69
100, 239.08, 1935, 6801, 69
100, 238.72, 1920, 6801, 69
100, 238.26, 1920, 6801, 69
100, 238.66, 1920, 6801, 69
100, 235.93, 1950, 6801, 69
100, 238.14, 1905, 6801, 69
100, 238.92, 1920, 6801, 69
100, 238.27, 1920, 6801, 69
100, 238.41, 1920, 6801, 69
100, 238.70, 1920, 6801, 69
100, 238.93, 1920, 6801, 69
100, 238.74, 1935, 6801, 70
100, 238.46, 1920, 6801, 70
100, 239.08, 1920, 6801, 70
100, 239.07, 1920, 6801, 69
100, 238.61, 1920, 6801, 70
