util,power,sm_clk,mem_clk,temp
24, 24.10, 360, 405, 55
24, 23.78, 300, 405, 55
24, 23.85, 240, 405, 54
23, 23.43, 210, 405, 54
28, 23.46, 210, 405, 54
26, 23.54, 210, 405, 54
28, 23.74, 210, 405, 54
38, 23.59, 210, 405, 53
68, 61.88, 1830, 6801, 56
100, 237.01, 1950, 6801, 62
100, 236.51, 1935, 6801, 63
100, 236.74, 1950, 6801, 63
100, 235.21, 1935, 6801, 63
100, 236.93, 1935, 6801, 64
100, 237.24, 1950, 6801, 64
100, 237.61, 1950, 6801, 64
100, 238.05, 1950, 6801, 64
100, 238.22, 1950, 6801, 65
100, 238.57, 1950, 6801, 65
100, 238.14, 1950, 6801, 65
100, 233.48, 1950, 6801, 65
100, 237.01, 1950, 6801, 65
100, 239.27, 1950, 6801, 66
100, 238.15, 1950, 6801, 66
100, 239.07, 1950, 6801, 66
100, 238.13, 1950, 6801, 66
100, 237.26, 1950, 6801, 67
100, 238.28, 1950, 6801, 66
100, 238.54, 1950, 6801, 67
100, 238.63, 1935, 6801, 67
100, 237.46, 1935, 6801, 67
100, 228.91, 1920, 6801, 67
100, 237.15, 1935, 6801, 67
100, 238.44, 1935, 6801, 67
100, 237.90, 1950, 6801, 67
100, 238.18, 1935, 6801, 67
100, 237.66, 1935, 6801, 68
100, 237.41, 1935, 6801, 68
100, 238.70, 1935, 6801, 68
100, 237.75, 1935, 6801, 68
100, 237.79, 1935, 6801, 68
100, 238.19, 1935, 6801, 68
100, 231.45, 1950, 6801, 68
100, 235.74, 1935, 6801, 68
100, 236.55, 1935, 6801, 68
100, 237.98, 1935, 6801, 68
100, 237.05, 1935, 6801, 68
100, 237.41, 1935, 6801, 68
100, 237.93, 1950, 6801, 68
100, 238.54, 1935, 6801, 69
100, 238.28, 1935, 6801, 69
100, 238.36, 1935, 6801, 68
100, 238.19, 1935, 6801, 69
100, 238.50, 1935, 6801, 69
100, 230.51, 1950, 6801, 68
100, 237.68, 1935, 6801, 69
100, 238.03, 1935, 6801, 69
100, 237.95, 1935, 6801, 69
100, 238.94, 1935, 6801, 69
100, 238.58, 1935, 6801, 69
100, 236.90, 1935, 6801, 69
100, 238.28, 1935, 6801, 69
100, 238.73, 1935, 6801, 69
100, 238.28, 1935, 6801, 70
100, 238.26, 1935, 6801, 70
