util,power,sm_clk,mem_clk,temp
26, 23.97, 210, 405, 55
24, 23.82, 210, 405, 55
31, 23.38, 210, 405, 54
30, 23.59, 210, 405, 54
29, 23.32, 210, 405, 54
23, 23.43, 210, 405, 54
26, 23.29, 210, 405, 54
2, 29.85, 210, 405, 53
58, 80.32, 1830, 6801, 54
100, 235.75, 1965, 6801, 62
100, 234.79, 1950, 6801, 63
100, 233.32, 1950, 6801, 63
100, 238.08, 1950, 6801, 63
100, 239.02, 1950, 6801, 64
100, 237.60, 1965, 6801, 64
100, 239.06, 1950, 6801, 64
100, 238.56, 1950, 6801, 64
100, 238.96, 1935, 6801, 65
100, 237.52, 1935, 6801, 65
100, 231.20, 1950, 6801, 65
100, 239.25, 1950, 6801, 65
100, 238.16, 1950, 6801, 66
100, 238.30, 1950, 6801, 66
100, 238.49, 1950, 6801, 66
100, 238.79, 1950, 6801, 66
100, 237.45, 1950, 6801, 67
100, 237.79, 1950, 6801, 67
100, 238.72, 1950, 6801, 67
100, 237.80, 1935, 6801, 67
100, 237.82, 1935, 6801, 67
100, 226.76, 1935, 6801, 67
100, 230.58, 1935, 6801, 67
100, 236.97, 1935, 6801, 67
100, 238.41, 1935, 6801, 67
100, 237.32, 1935, 6801, 67
100, 237.17, 1935, 6801, 67
100, 237.90, 1935, 6801, 68
100, 238.37, 1935, 6801, 68
100, 238.10, 1935, 6801, 68
100, 238.57, 1935, 6801, 68
100, 232.82, 1950, 6801, 67
100, 235.26, 1950, 6801, 68
100, 237.42, 1935, 6801, 68
100, 237.96, 1935, 6801, 68
100, 236.67, 1935, 6801, 69
100, 238.36, 1935, 6801, 69
100, 238.52, 1935, 6801, 68
100, 238.07, 1935, 6801, 69
100, 238.37, 1935, 6801, 69
100, 237.85, 1935, 6801, 69
100, 237.80, 1935, 6801, 69
100, 229.79, 1920, 6801, 68
100, 234.52, 1935, 6801, 69
100, 238.51, 1920, 6801, 69
100, 237.90, 1935, 6801, 69
100, 237.83, 1935, 6801, 69
100, 238.97, 1920, 6801, 69
100, 239.10, 1935, 6801, 69
100, 238.54, 1935, 6801, 69
100, 237.77, 1950, 6801, 69
100, 238.83, 1935, 6801, 69
100, 238.57, 1935, 6801, 69
