util,power,sm_clk,mem_clk,temp
41, 36.10, 720, 810, 53
19, 36.55, 1110, 5001, 53
19, 39.46, 1110, 5001, 53
20, 38.43, 615, 5001, 53
18, 36.17, 1245, 5001, 53
17, 41.07, 1245, 5001, 52
100, 199.30, 1965, 6801, 60
100, 232.53, 1965, 6801, 61
100, 233.93, 1965, 6801, 61
100, 233.45, 1965, 6801, 61
100, 231.37, 1965, 6801, 62
100, 233.32, 1965, 6801, 62
100, 234.23, 1965, 6801, 62
100, 232.75, 1950, 6801, 62
100, 233.40, 1965, 6801, 63
100, 233.33, 1965, 6801, 63
100, 232.53, 1965, 6801, 63
100, 233.05, 1965, 6801, 63
100, 227.27, 1965, 6801, 63
100, 233.08, 1965, 6801, 64
100, 233.65, 1965, 6801, 64
100, 233.18, 1965, 6801, 64
100, 232.38, 1965, 6801, 64
100, 232.30, 1965, 6801, 64
100, 231.93, 1950, 6801, 64
100, 232.69, 1965, 6801, 64
100, 233.18, 1965, 6801, 65
100, 232.73, 1965, 6801, 65
100, 233.08, 1965, 6801, 65
100, 233.26, 1965, 6801, 65
100, 232.52, 1965, 6801, 65
100, 230.12, 1965, 6801, 65
100, 230.27, 1950, 6801, 65
100, 229.93, 1950, 6801, 65
100, 230.30, 1950, 6801, 65
100, 230.64, 1950, 6801, 66
100, 231.11, 1950, 6801, 65
100, 230.30, 1950, 6801, 65
100, 230.48, 1950, 6801, 66
100, 230.65, 1950, 6801, 66
100, 230.98, 1950, 6801, 66
100, 230.99, 1965, 6801, 66
100, 230.71, 1950, 6801, 66
100, 230.55, 1950, 6801, 66
100, 228.09, 1950, 6801, 66
100, 230.34, 1965, 6801, 66
100, 230.78, 1950, 6801, 66
100, 231.43, 1950, 6801, 66
100, 231.14, 1965, 6801, 66
100, 229.86, 1950, 6801, 66
100, 230.90, 1950, 6801, 67
100, 231.51, 1950, 6801, 66
100, 233.75, 1950, 6801, 66
100, 238.33, 1935, 6801, 67
100, 234.18, 1950, 6801, 67
100, 234.95, 1950, 6801, 67
100, 230.39, 1950, 6801, 67
100, 234.65, 1950, 6801, 67
100, 233.85, 1950, 6801, 68
100, 234.77, 1950, 6801, 67
100, 234.47, 1950, 6801, 67
100, 234.57, 1950, 6801, 67
100, 234.16, 1950, 6801, 68
100, 235.01, 1950, 6801, 67
100, 234.54, 1965, 6801, 68
100, 234.20, 1950, 6801, 68
100, 234.32, 1950, 6801, 68
100, 234.65, 1950, 6801, 67
100, 234.94, 1950, 6801, 68
