18, 36.63, 1245, 53
18, 39.90, 1245, 52
23, 38.14, 645, 52
21, 34.22, 1080, 52
20, 39.19, 1185, 52
47, 37.63, 660, 51
20, 36.89, 1185, 51
14, 49.62, 1830, 52
14, 57.32, 1830, 52
100, 144.14, 1980, 56
100, 213.10, 1980, 59
100, 210.16, 1980, 60
100, 210.77, 1980, 60
100, 209.70, 1980, 60
100, 209.71, 1980, 60
100, 209.58, 1980, 60
100, 210.17, 1980, 60
100, 209.07, 1980, 60
100, 212.03, 1980, 61
100, 211.84, 1980, 61
100, 212.77, 1980, 61
100, 212.85, 1980, 61
100, 212.22, 1980, 61
100, 215.09, 1980, 62
100, 214.25, 1980, 62
100, 215.57, 1980, 62
100, 214.51, 1980, 62
100, 214.42, 1980, 62
100, 214.83, 1980, 62
100, 215.29, 1980, 62
100, 216.27, 1980, 63
100, 216.96, 1980, 63
100, 217.13, 1980, 63
100, 216.82, 1980, 63
100, 216.71, 1980, 63
100, 216.40, 1980, 63
100, 216.28, 1980, 63
100, 218.02, 1980, 63
100, 217.68, 1980, 63
100, 218.06, 1980, 64
100, 218.02, 1980, 63
100, 217.76, 1980, 64
100, 218.09, 1980, 64
100, 217.14, 1980, 64
100, 217.23, 1980, 64
100, 217.90, 1980, 64
100, 218.37, 1980, 64
100, 216.94, 1980, 64
100, 214.97, 1965, 64
100, 212.35, 1965, 64
100, 213.06, 1965, 64
100, 212.24, 1965, 64
100, 213.07, 1965, 64
100, 212.64, 1965, 64
100, 212.45, 1965, 64
100, 213.00, 1965, 64
100, 213.77, 1965, 64
100, 212.30, 1965, 64
100, 212.40, 1965, 64
100, 212.74, 1965, 64
100, 208.57, 1965, 64
100, 209.43, 1965, 64
100, 209.46, 1965, 64
100, 208.90, 1965, 64
100, 208.69, 1965, 64
100, 207.44, 1965, 64
100, 208.68, 1965, 64
100, 208.39, 1965, 64
100, 207.02, 1965, 64
100, 206.55, 1965, 64
100, 207.46, 1965, 64
100, 207.32, 1965, 65
100, 207.06, 1965, 64
25, 183.91, 1965, 64
